,name,place_id,formatted_address,types,user_ratings_total,rating
25,Bali Handara Gate,ChIJbzqpVBWJ0S0R05zES7guCTk,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia","tourist_attraction,point_of_interest,establishment",2707,4.1
26,Ubud Palace,ChIJS7J-82o90i0RMj8cKJr2zUs,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","tourist_attraction,point_of_interest,establishment",8907,4.2
27,Objek Wisata Sangeh,ChIJD_uUnkcj0i0RRgli0Ct1dFI,"Jl. Brahmana, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","tourist_attraction,zoo,park,point_of_interest,establishment",137,4.6
28,Penglipuran Village,ChIJqfTkrG4Z0i0RGTQM35oWGTM,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611, Indonesia","tourist_attraction,point_of_interest,establishment",16793,4.8
29,Taman Ayun Temple,ChIJAUB625A70i0R7crEj_IvJq8,"Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","hindu_temple,tourist_attraction,place_of_worship,point_of_interest,establishment",7199,4.6
30,Taman Mumbul Sangeh,ChIJQWvBDkoj0i0RLYVMkHhMqGw,"Jln.brahmana No.38, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","tourist_attraction,point_of_interest,establishment",2165,4.6
31,"Taman Festival Bali, Padang Galak",ChIJL-o1GhJA0i0R5Abv31St2ck,"Jl. Padang Galak No.3, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali, Indonesia","tourist_attraction,park,point_of_interest,establishment",1490,4.4
32,Pantai Legian Bali,ChIJl3dU9cFG0i0RE_JTvoaxSVQ,"Jl. Melasti, Legian, Kec. Kuta, Kabupaten Badung, Bali, Indonesia","tourist_attraction,point_of_interest,establishment",615,4.6
33,Jatiluwih Rice Terraces,ChIJ-9cMAqsn0i0RmoPm81-HDy8,"Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152, Indonesia","tourist_attraction,point_of_interest,establishment",8647,4.7
34,Honeymoon Beach,ChIJ5_TINIRF0i0Rz6DwJGLEQKw,"64CV+3HP, Unnamed Road, Jimbaran, South Kuta, Badung Regency, Bali 80361, Indonesia","tourist_attraction,point_of_interest,establishment",412,4.5
35,Tanah Lot,ChIJq95xT4I30i0RaU3j93Diq8o,"Beraban, Kediri, Tabanan Regency, Bali 82121, Indonesia","tourist_attraction,point_of_interest,establishment",80799,4.6
36,Bali Swing,ChIJ5ZiPtys90i0RUok0dF7Lh9w,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","tourist_attraction,amusement_park,point_of_interest,establishment",11288,4.6
37,Pandawa Beach,ChIJbZgU8gRb0i0RmWRatK3bd3I,"553P+R5G, Jl. Pantai Pandawa, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","tourist_attraction,travel_agency,point_of_interest,establishment",40133,4.6
38,Bukit Belong,ChIJRSElPXYR0i0R-l62epaUmSw,"Jl. Bukit Belong, Gunaksa, Kec. Dawan, Kabupaten Klungkung, Bali 80761, Indonesia","tourist_attraction,point_of_interest,establishment",311,4.3
