,name,place_id,formatted_address,types,user_ratings_total,rating
24,Warung Umah Bali,ChIJceqfUrYj0i0R3AKPH-aEZmM,"Jl. Keliki Kawan, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80561, Indonesia","restaurant,food,point_of_interest,establishment",325,5.0
25,Balagra Resto Bali,ChIJvcoIMohH0i0RoOUc_GcwCoM,"Jl. Sunset Road No.88A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",32,4.9
26,Mamasan Bali,ChIJ28dn2hdH0i0RMJGidoQ8ilw,"Jl. Raya Kerobokan No.135, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","night_club,bar,restaurant,food,point_of_interest,establishment",3031,4.5
27,Pala Restaurant & Rooftop Bar,ChIJ_9jHzR5d0i0Rkm0FXWXqIMY,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",70,4.8
28,Cafe Bali,ChIJNz1dVBdH0i0Rpn8u0cr9drY,"Jalan Laksmana (Kayu Aya Seminyak Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",1545,4.4
29,Sangsaka Restaurant,ChIJ0x7UGRRH0i0RKa1AnlBmNfQ,"Jalan Pangkung Sari No. 100 Kerobokan, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",998,4.7
30,The bali kitchen warung seminyak,ChIJscGAa6JH0i0RAQWv3Vuav1Q,"Jl. Drupadi II, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",11,5.0
31,Cuca Restaurant,ChIJp7V6o2FE0i0R0Vpk0XMjS4M,"Jl. Yoga Perkanthi, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80364, Indonesia","bar,restaurant,food,point_of_interest,establishment",2883,4.7
32,Uni Restaurant,ChIJh5_-zCRH0i0RZ-5N2hPzs6A,"Jl. Pantai Berawa No.99, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","bar,restaurant,food,point_of_interest,establishment",152,4.4
33,Iwa Restaurant at Hotel Tugu Bali,ChIJhYe90IdH0i0R3qavUpKXm_Q,"Jl. Pantai Batu Bolong, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",132,4.7
34,FIRE,ChIJu1ylVQxH0i0Rq2OcjxipzTU,"Jl. Petitenget Kerobokan, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",275,4.6
35,Paon Bali Resto & Bar,ChIJh3iFG8Rc0i0Rdn7vSvmbcTA,"56F9+GHP, Benoa, South Kuta, Badung Regency, Bali, Indonesia","restaurant,food,point_of_interest,establishment",31,4.4
36,Balibagus Resto,ChIJqeMeDN1G0i0R3f77UJU73Os,"Jln Padma Utara St Legian Kuta, Legian, Kec. Kuta, Kabupaten Bandung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",97,4.5
37,BATIK Restaurant Bar,ChIJKWD5VBdH0i0ReivZYCJIm24,"Jalan Kayu Aya, Seminyak, Kerobokan Kelod, Kec. Kuta Utara, Bali, 80361, Indonesia","bar,restaurant,food,point_of_interest,establishment",1285,4.5
38,BLANCO par Mandif,ChIJo1GWBj490i0RXWp2SA0I2ZA,"Kompleks Museum Blanco, Jl. Raya Tjampuhan, Ubud, Sayan, Kec. Gianyar, Kabupaten Gianyar, Bali 80571, Indonesia","restaurant,food,point_of_interest,establishment",268,4.7
39,Gabah Restaurant & Bar,ChIJYewZo6RG0i0Rz6Dix0xA-dk,"Jalan Bakung Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",669,4.2
40,Mauri Restaurant,ChIJHYu1nRlH0i0RdPb1-zIWMgw,"Jl. Petitenget No.100, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",677,4.7
41,Jungle Fish Bali,ChIJURMfBbYi0i0RFB8UdQswuY4,"Jl. Raya Sebali, Keliki, Kec. Payangan, Kabupaten Gianyar, Bali 80561, Indonesia","restaurant,food,point_of_interest,establishment",1458,4.6
42,Boni Bali Restaurant,ChIJ2e7HkX4i0i0R_Xq96K4pFd8,"Jl. Pakudui, Kedisan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia","restaurant,food,point_of_interest,establishment",156,4.3
43,Chapter 2 Restaurant & Bar,ChIJQZUR291G0i0RW9WfrUPX4jI,"8528+6VC, Jl. Werkudara, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",481,4.4
44,Bumbu Bali Restaurant & Cooking School,ChIJdZa5pqdD0i0R6S9PqkjLIFY,"Jl. Pratama, Tanjung, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia","restaurant,food,point_of_interest,establishment",905,4.4
45,Wedja Bali,ChIJZRao86M90i0RWDXbSIypCzw,"Jl. Ambarwati No.1, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","cafe,restaurant,food,point_of_interest,establishment",799,4.8
46,Pendopo Bali,ChIJE1ain2xH0i0RUX3mQnPBkVg,"Jl. Petitenget No.25, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","cafe,restaurant,food,point_of_interest,establishment",10,4.4
47,Bale Banjar Restaurant,ChIJucE2utxG0i0RwWfd1phccH8,"Jl. Melasti Legian Kelod, Legian, Kec. Kuta, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",10,4.5
48,Labak Sari Restaurant,ChIJ63XU7Lwi0i0R1SXlTl1pUx4,"Jl. Tirta Tawar, Br. Abangan, 80571, Ubud 80571, Ubud, Tegallalang, Gianyar Regency, Bali 80571, Indonesia","restaurant,food,point_of_interest,establishment",497,4.7
49,Kubu at Mandapa,ChIJ7aMbz9Ii0i0RoGosbyjUuNs,"Jl. Raya Kedewatan, Banjar, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","restaurant,food,point_of_interest,establishment",269,4.8
50,Nasi Bali Restaurant Legian,ChIJQVn3YsdG0i0R9PrNddjDEVY,"Jln Legian No.155, Kuta, Badung Regency, Bali 80361, Indonesia","bar,night_club,restaurant,food,point_of_interest,establishment",176,4.3
51,The Plantation Grill - Seminyak,ChIJ32RppuFG0i0RX2mUvnb758E,"Seminyak, Kuta, Badung Regency, Bali 80361, Indonesia","bar,restaurant,food,point_of_interest,establishment",477,4.7
52,La Baracca Bali,ChIJj0tR_mpH0i0RP5h_ieNuzAs,"Petitenget St No.17D, Kerobokan, Kuta Utara, Badung Regency, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",796,4.3
53,Raja Bali - Balinese Authentic Restaurant & Activities (Main Restaurant),ChIJsZNw9T1D0i0R5jJEUBWUOC4,"Jl. Pratama No.808 B, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",31,5.0
54,Kayuputi Restaurant,ChIJm_sdCNNc0i0RIJmaIzLcoJA,"Kawasan Pariwisata, Nusa Dua, Badung Regency, Bali 80363, Indonesia","restaurant,food,point_of_interest,establishment",423,4.7
55,The Sayan House,ChIJ33dBrSU90i0RLfghMTgPn_c,"Jl. Raya Sayan No.70, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","bar,restaurant,food,point_of_interest,establishment",1535,4.6
56,Bali Moon Resto,ChIJTd5rcPY90i0Roq75vXLBX0s,"C7XJ+XMJ, Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia","restaurant,food,point_of_interest,establishment",155,4.5
57,Nook,ChIJJQRm22tH0i0Ri039M0Bg1yE,"Jl. Umalas 1 No.3, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",10692,4.5
58,The Amora Bali,ChIJJR9--cr10S0R-jkErGbhQ2w,"Penelokan Main Rd No.999, Central Batur, Kintamani, Bangli Regency, Bali 80652, Indonesia","cafe,restaurant,food,point_of_interest,store,establishment",2574,4.4
59,Samiya Restaurant,ChIJnR2CHVMn0i0RTMiLHPH3cfU,"Banjar Pacung, Jl. Baturiti - Mekarsari, Mekarsari, Baturiti, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia","restaurant,food,point_of_interest,establishment",128,4.3
60,Jaansan Bali Restaurant,ChIJDwSD1V9H0i0RJmcyC7pyQM8,"Jl. Petitenget No.40X, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,point_of_interest,food,establishment",481,4.6
61,Merah Putih,ChIJk0rRixJH0i0RLUg5-J_2IEE,"Jl. Petitenget No.100X, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","restaurant,point_of_interest,food,establishment",1762,4.5
62,Warung Bali Bambu Sari,ChIJeXc1-ipb0i0RmdUPeXqvKXk,"Jl. Kauripan No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","restaurant,food,point_of_interest,establishment",91,4.6
63,Ubud Balinya Solo,ChIJu6_YG74Wei4RtHGPKdjguqg,"Jl.kelud selatan, Jl. Nayu Kelurahan No.42, RW.05, joglo, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135, Indonesia","cafe,point_of_interest,food,establishment",174,4.6
64,"Bejana, Indonesian Restaurant at The Ritz-Carlton, Bali",ChIJj2YYRMBc0i0R4VItC_wL_Hw,"The Ritz-Carlton, Sawangan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","restaurant,point_of_interest,food,establishment",151,4.7
65,CasCades Restaurant,ChIJySXvVVc90i0RdOkVA_NwHEo,"Jl. Lanyahan, Br. Nagi, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","restaurant,point_of_interest,food,establishment",307,4.7
66,Balique,ChIJn_yYvYtE0i0R-ZZOyt4OBN0,"Uluwatu St No.39, Jimbaran, South Kuta, Badung Regency, Bali 80361, Indonesia","restaurant,point_of_interest,food,establishment",750,4.4
67,The Restaurant at The Legian Seminyak,ChIJ_Q5n311A0i0R4yKG_eF9H3I,"Jl. Kayu Aya, Seminyak, beach, Kabupaten Badung, Bali, Indonesia","restaurant,point_of_interest,food,establishment",216,4.6
68,"RM MASAKAN PADANG SELAMAT BARU ,SOLO",ChIJyTMoqWQWei4R1S23pHLQOeM,"Jl. Dr. Rajiman, Bumi, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia","restaurant,point_of_interest,food,establishment",296,4.6
69,Warung Makan Padang,ChIJYetqaGcWei4RHcbcrFnX3KQ,"Kedung Lumbu, Pasar Kliwon, Surakarta City, Central Java, Indonesia","restaurant,point_of_interest,food,establishment",0,0.0
70,Ampera Uni Nora,ChIJxTDdpGYWei4RHcaS72FiZlY,"Jl. K.H Hasyim Ashari No.43, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57112, Indonesia","restaurant,point_of_interest,food,establishment",135,4.5
71,Warung Padang Pak Haji Jamal,ChIJWY8T72sWei4RqcRO5g049i0,"Jl. Veteran No.62, Joyosuran, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57116, Indonesia","restaurant,point_of_interest,food,establishment",58,4.3
72,Rumah Makan Barokah Riyadh,ChIJfxRGnWkWei4RL9enN4UEMNI,"CR8H+XCR, Jl. Ibu Pertiwi, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57118, Indonesia","restaurant,point_of_interest,food,establishment",1,4.0
73,Cahaya 5 Padang Restaurant,ChIJKZMQy2MWei4RERBm9e48xHY,"CRHF+PMH, Slamet Riyadi St, Keprabon, Banjarsari, Surakarta City, Central Java 57151, Indonesia","restaurant,point_of_interest,food,establishment",107,4.4
74,RM Sederhana Padang Kleco,ChIJJUJOXIcWei4RmzScZyZA3qo,"Slamet Riyadi St No.469, Pajang, Laweyan, Surakarta City, Central Java 57146, Indonesia","restaurant,point_of_interest,food,establishment",3374,4.5
75,Rumah Makan Padang Uda Madi,ChIJhQfn714Xei4RrkKMGNL0KqQ,"Jl. Teuku Umar No.72, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia","restaurant,point_of_interest,food,establishment",165,4.6
76,RM Sari Bundo,ChIJ3bZQlIcWei4RpDIQ3IpvO9s,"Jl. Gajahmada No.36, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia","restaurant,point_of_interest,food,establishment",888,4.2
77,Minang Mulya,ChIJoWegO2IWei4RsMz9_Ej0_Wk,"Jl. Banda No.22, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia","restaurant,point_of_interest,food,establishment",0,0.0
78,WM. Padang Ampera,ChIJX1v0xIYWei4RquRJOtUlDt8,"Jl. Ronggowarsito No.183, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia","restaurant,point_of_interest,food,establishment",56,4.5
79,Resto Bundo Rumah Makan Padang,ChIJwXbE5nwVei4RMkoNqoIys3A,"Jl. Moh. Yamin No.1, Turi, Cemani, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia","restaurant,point_of_interest,food,establishment",1,5.0
80,RM Padang Putra Alam,ChIJvf1IZ3wXei4RpnMPM5bchHE,"CR98+HHW, Kratonan, Serengan, Surakarta City, Central Java 57155, Indonesia","restaurant,point_of_interest,food,establishment",6,4.3
81,Sate Padang Amura Uda Rico,ChIJjf1_-2IWei4RDIeV8EyOoKs,"Slamet Riyadi St No.132, Timuran, Banjarsari, Surakarta City, Central Java 57131, Indonesia","restaurant,point_of_interest,food,establishment",107,4.5
82,Rumah Makan Ampera Masakan Padang,ChIJcUilpj8Wei4Rqavs7kRdhdQ,"Jl. Sungai Serang I No.313, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57191, Indonesia","restaurant,point_of_interest,food,establishment",6,4.2
83,Ketupat Sayur Padang Uni Luci,ChIJ0eBmmGYWei4RESM7OdaYpV8,"CRGG+984, Kauman, Pasar Kliwon, Surakarta City, Central Java 57122, Indonesia","restaurant,point_of_interest,food,establishment",2,4.0
84,Rumah Makan Padang Dara Minang,ChIJOwh69PUXei4RW1qBI2klp4E,"Jl. Ledoksari No.15, Purwodiningratan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128, Indonesia","restaurant,point_of_interest,food,establishment",3,5.0
85,RM. PADANG SEDERHANA BARU,ChIJ759VK5AWei4R5onlcU0VQpY,"CRRC+XXH, pasar ayu solo balapan, Kestalan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133, Indonesia","restaurant,point_of_interest,food,establishment",153,4.4
86,Rumah Makan Masakan Padang Cahaya Sukses,ChIJhYwIh_sWei4Rik39vvTDVGE,"CRRX+5M4, Jl. Guntur, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia","restaurant,point_of_interest,food,establishment",7,4.4
87,Rumah Makan Padang Cahayo Minang,ChIJBRJRN4sXei4RTmuU9EvNpPY,"Jl. Jend. Urip Sumoharjo No.211, Tegalharjo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia","restaurant,point_of_interest,food,establishment",8,4.0
88,"Rumah makan padang ""BAREH SOLOK""",ChIJjUspPowXei4RgmoUE3wbPVY,"Jl. Tj. Anom No.33, Bangorwo, Kwarasan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia","restaurant,food,point_of_interest,establishment",1,5.0
89,Rumah Makan Padang Pagaruyuang,ChIJGeNCpEAWei4R1mwwjQCGmvc,"CR7M+9WF, Jl. Kyai Mojo, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57191, Indonesia","restaurant,food,point_of_interest,establishment",55,4.6
90,Rumah Makan Padang Denai,ChIJC7zwuYYWei4RiwLkRZ7YzLs,"Jl. Prof. DR. Supomo No.43, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia","restaurant,food,point_of_interest,establishment",167,4.6
91,NASI PADANG SUMO RENDANG,ChIJVy-Cp7MXei4RkgmppQ6xQgI,"CRMC+CC3, Timuran, Banjarsari, Surakarta City, Central Java 57131, Indonesia","restaurant,food,point_of_interest,establishment",0,0.0
92,Rumah Makan padang EMBUN PAGI,ChIJ-43huGwWei4RSPcEdAPMBv4,"Jl. Brigjen Sudiarto No.90, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57156, Indonesia","restaurant,food,point_of_interest,establishment",182,4.2
93,Rm Padang Embun Pagi,ChIJ7zZ1mPsWei4RKzBvhKpabG0,"Jl. Ir. Sutami No.18, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia","restaurant,food,point_of_interest,establishment",4,2.0
94,Masakan Padang Mutiara Minang,ChIJDRM6AtUVei4RxgjjPVdrAZI,"CRH3+GWJ, Jl. Dr. Rajiman, Penumping, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia","restaurant,food,point_of_interest,establishment",20,4.0
95,Masakan Padang,ChIJjeNZI3UXei4R0QlwxbPRUuE,"Ps. Klewer, Kedung Lumbu, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia","restaurant,food,point_of_interest,establishment",3,5.0
96,Pondok Salero Masakan Padang,ChIJocyLqwwWei4R0fTQ8_KayL4,"Ngruki, Cemani, Grogol, Sukoharjo Regency, Central Java, Indonesia","restaurant,food,point_of_interest,establishment",3,4.7
97,Rumah Makan Padang Gadih Minang,ChIJc1TVwwUXei4RDvGBEVHYx98,"Jl. Kapten Piere Tendean No.131, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135, Indonesia","restaurant,food,point_of_interest,establishment",5,4.8
98,Rumah Makan Tiara Minang,ChIJ-1mnlFkWei4RtKVaBtq09Ow,"Jl. RE Martadinata No.211A, Gandekan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57123, Indonesia","restaurant,food,point_of_interest,establishment",88,4.5
99,Rumah Makan Pelang Masakan Padang,ChIJIWbKCgYWei4RV_eEYRv424U,"Dusun I, Madegondo, Grogol, Sukoharjo Regency, Central Java, Indonesia","restaurant,food,point_of_interest,establishment",0,0.0
100,Waroeng Berkah Bundo,ChIJbeMLQIYWei4RfHqVgdsvudU,"Jl. Yosodipuro No.44, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia","restaurant,food,point_of_interest,establishment",52,4.8
101,"Rumah Makan Padang ""Uni Linda"" cab. Purwosari",ChIJI1CSWOEVei4RHp_Yt8OhkQI,"CRP2+CQP, Jl. Melati, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57142, Indonesia","restaurant,food,point_of_interest,establishment",4,5.0
102,RM. Padang nusantara,ChIJ1yMn1gUWei4R-l3aIf38L5o,"9RX7+CCP, Dusun I, Madegondo, Grogol, Sukoharjo Regency, Central Java 57552, Indonesia","restaurant,food,point_of_interest,establishment",2,5.0
103,rumah makan masakan padang minang rempah,ChIJY39AsRkXei4RH654e7dyXb4,"CR7P+P2V, Semanggi, Pasar Kliwon, Surakarta City, Central Java 57191, Indonesia","restaurant,food,point_of_interest,establishment",4,3.8
104,Rumah Makan Padang Pondok Indah,ChIJe2RMINMVei4RQZpQNw5ncvE,"Jl. Dr. Rajiman No.497, Bumi, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia","restaurant,food,point_of_interest,establishment",302,4.5
105,Doa Bundo Masakan Padang,ChIJsQFWUdUVei4RcnV6CXZlt0A,"Jl. Kebangkitan Nasional No.85, Penumping, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia","restaurant,food,point_of_interest,establishment",0,0.0
106,RM Padang Pangeran,ChIJfdHGU8YXei4RL_S2bRie9yg,"Jl. Kapten Mulyadi No.307, Ps. Kliwon, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57118, Indonesia","restaurant,food,point_of_interest,establishment",32,4.4
107,Rumah Makan Padang,ChIJdfZsjtsVei4RvKYrrWMMofA,"Jl. Mawar Raya No.22, Sawah, Sanggrahan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia","restaurant,food,point_of_interest,establishment",10,4.3
108,Masakan padang arha,ChIJPcA3oF0Xei4RQmdoHSQg-s0,"Jl. Kartopuran No.241 A, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57152, Indonesia","restaurant,point_of_interest,food,establishment",3,5.0
109,Rm. Padang,ChIJp84jKuMVei4RbhqNAHhRMtQ,"CR23+6RV, Jl. Raya Solo, Dayung, Kwarasan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia","restaurant,point_of_interest,food,establishment",0,0.0
