place_id,place_name,place_address,place_category,total_review,ave_rating,lat,long
ChIJbd2bNDQ80i0Ra8be9fCXvkg,Rumah Sakit Windu Husada,"Jl. Raya Mambal No.17, Mekar Bhuwana, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia",hospital,44,4.4,-8.550489899999999,115.2314986
ChIJC9zFSuc_0i0RN8wCG33vW0E,Rumah sakit budi agung,"Jl. Patimura, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali, Indonesia",hospital,0,0.0,-8.649189999999999,115.2202583
ChIJuQveeDEh0i0RuAkh10RSv08,Rumah Sakit Umum Semara Ratih,"Jl. Raya Denpasar Singaraja Desa Luwus Baturiti, Mekarsari, Kabupaten Tabanan, Bali 82191, Indonesia",hospital,135,4.4,-8.3815737,115.195506
ChIJGS2DH2Q60i0RoAEoZjNTymk,General Hospital Wisma Prashanti,"Jl. Yeh Gangga I No.9, Gubug, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",hospital,122,2.9,-8.5421851,115.1117891
ChIJKc9CnV1B0i0R8eME4ZmPfxk,Rs Sanlah,"9628+2J5, Dangin Puri Kauh, Denpasar Utara, Denpasar City, Bali 80233, Indonesia",hospital,2,5.0,-8.6499945,115.2166165
ChIJQ8kDUw1H0i0RufNo-yCIsLg,Rumah Sakit Kertha Usada II,"Jl. Cendrawasih No.5, Kerobokan Kelod, Singaraja, Kabupaten Buleleng, Bali 80361, Indonesia",hospital,0,0.0,-8.6747859,115.1528
ChIJsxuzxl0_0i0R4IKUhTeSua0,Badan Pelayanan Khusus Rumah Sakit Indera Masyarakat,"Jl. Maruti No.10, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111, Indonesia",hospital,8,4.1,-8.644376,115.2107671
ChIJ3ZMTnjJB0i0R3irj05sEF5M,RSGM Universitas Mahasaraswati,"Jl. Kamboja No.11A, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80233, Indonesia",hospital,173,4.9,-8.6525566,115.2246485
ChIJe3pJ_BYZ0i0Ry8VyUGePOIw,Ruang Bhisma RSJ Provinsi Bali,"G9V2+H6G, Unnamed Road, Kawan, Bangli, Bangli Regency, Bali 80661, Indonesia",hospital,0,0.0,-8.4560534,115.3505683
ChIJs5pg15xA0i0RUbUqSsL2dfk,Rumah Sakit Mata Bali Mandara,"Jl. Angsoka No.8, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80236, Indonesia",hospital,315,4.5,-8.652282,115.2237969
ChIJ99SCGzg_0i0R5Pfrqy9lxl8,Rumah Sakit Jiwa Bina Atma,"256 Km, Jl. Cokroaminoto No.5, Bali 80111, Indonesia",hospital,0,0.0,-8.629999999999999,115.201189
ChIJBxGBuf070i0RGRWxy6hfHKg,Rumah Sakit Mangusada Badung,"Jalan Raya Kapal, Mangupura, Mengwi, Kapal, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",hospital,379,3.4,-8.578659799999999,115.1829684
ChIJhSn73x4u0i0RVqFYrhLUlOo,Dharma Kerti General Hospital,"Jl. Teratai No.16, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",hospital,88,4.3,-8.539451,115.1189389
ChIJwWoPWHrw0S0RPtUjmCm2AZQ,Rumah Sakit Pratama Kubu,"Dusun Labuan Sari, Tianyar Bar., Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia",hospital,6,3.3,-8.1817558,115.4645835
ChIJja8jlHkV0i0R5uA0OXg8D8s,Rumah Sakit Umum Premagana,"97RV+PGV, Sukawati, More, Bali, Indonesia",hospital,0,0.0,-8.608127999999999,115.293792
ChIJF4YC5zTdaC4RqyBWcV_dODI,Bandung City Regional General Hospital,"Jl. Rumah Sakit No.22, Pakemitan, Kec. Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia",hospital,440,3.0,-6.9156688,107.698854
ChIJY1h6233oaC4RKpNpFeR-zBc,Muhammadiyah Hospital Bandung,"Jl. K.H. Ahmad Dahlan No.53, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia",hospital,759,2.9,-6.9335792,107.6231599
ChIJb-auU1nmaC4RCyPrneTV6W4,Bandung Advent Hospital,"Jl. Cihampelas No.161, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131, Indonesia",hospital,753,4.0,-6.892076599999999,107.6032797
ChIJ6ZQ8xEnmaC4RtLvEb0GdDcA,Rumah Sakit Ibu dan Anak Limijati,"Jalan, LLRE Martadinata St No.39, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",hospital,577,3.6,-6.9061834,107.6137002
ChIJjbRDxOHlaC4RC-LoV7W3cj8,Rumah Sakit Rajawali,"Jl. Rajawali Barat No.38, Maleber, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia",hospital,332,3.0,-6.9123965,107.5734226
