,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
50,Rumah Pak Acong,ChIJuyAcVUaP2TERAirOxSsbw0E,"Puri Agung No.2 A, Mangsang, Sei Beduk, Batam City, Riau Islands 29433, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.032814,104.0533302,"1.032814,104.0533302"
51,Hydrant Depan HMS Patam Lestari,ChIJodnEI5mL2TERamsXW_XBLYc,"4X99+34P, Jl. Tiban V, Patam Lestari, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.1177092,103.9678231,"1.1177092,103.9678231"
52,Jakarta Fire and Rescue Agency,ChIJkQLh1HP2aS4RI1EBxQUgL3c,"Jl. Kyai Haji Zainul Arifin No.71, RT.10/RW.10, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140, Indonesia","fire_station,point_of_interest,establishment",111,4.6,-6.1618546,106.8084323,"-6.1618546,106.8084323"
53,Kantor Pemadam Kebakaran Jakarta Utara,ChIJAawJ1Q4gai4RyZvQqwyqrrU,"Jl. Komp. Pemadam Kebakaran No.113, RT.11/RW.6, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia","fire_station,point_of_interest,establishment",59,4.8,-6.127199,106.926699,"-6.127199,106.926699"
54,Pemadam Kebakaran Prov. DKI Jakarta,ChIJM-tOtFntaS4R6l8Xro8pZLA,"Jl. Komp. TMII Pintu 3, Lubang Buaya, Cipayung, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810, Indonesia","fire_station,point_of_interest,establishment",16,4.8,-6.2994175,106.8987587,"-6.2994175,106.8987587"
55,Pemerintah Kotamadya Jakarta Pusat Suku Dinas Pemadam Kebakaran Pos Karet,ChIJfSJTcKP2aS4Rwy-GoWRiuxA,"Jl. Penjernihan 1 No.29, RT.10/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia","fire_station,point_of_interest,establishment",11,3.9,-6.2016621,106.8084023,"-6.2016621,106.8084023"
56,Lebak Bulus Fire Station,ChIJ42YVv83xaS4RhkxBLCwLAWU,"Jl. Raya Pasar Jum'at, RT.10/RW.7, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","fire_station,point_of_interest,establishment",82,4.6,-6.2888991,106.7750208,"-6.2888991,106.7750208"
57,Dinas Pemadam Kebakaran Sektor Gropet 311-01,ChIJlafigDT2aS4Rl65DssaYnAw,"RQWF+W93, RT.10/RW.4, Wijaya Kusuma, Grogol petamburan, West Jakarta City, Jakarta 11460, Indonesia","fire_station,point_of_interest,establishment",9,5.0,-6.152751,106.7734024,"-6.152751,106.7734024"
58,Dinas Penanggulangan Kebakaran Dan Penyelamatan (Damkar Johar),ChIJw3zEC1H0aS4RFMidIk5Jcm8,"Jl. Percetakan Negara II, RT.12/RW.3, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia","fire_station,point_of_interest,establishment",140,4.9,-6.1820936,106.8563319,"-6.1820936,106.8563319"
59,Suku Dinas Pemadam Kebakaran,ChIJ9YooKDn0aS4R4ovBQD_Azo4,"Taman Ismail Marzuki Jl. Cikini Raya No.73, RT.1/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia","fire_station,point_of_interest,establishment",11,4.5,-6.1907324,106.8384689,"-6.1907324,106.8384689"
