place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,food,liquor_store,lodging,meal_delivery,meal_takeaway,night_club,restaurant,school,store
ChIJS2qDAWAWei4RrIwm66MMTLY,Kedai Babi Ming,"Jl. Suryopranoto No.33-51, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,25,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJx6BJIcZG0i0REuLK4Co7HUI,Un's Restaurant - Bali,"Jl. Pantai Kuta Jl. Poppies II, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,499,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,"Jl. Petitenget No.43B, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80316, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,5298,4.8,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJvdB3_GpH0i0RlaTq17KvbR0,Barbacoa,"Petitenget St No.14, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1640,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJAXhicxJH0i0RLNdqBd88iSk,Bambu Bali - Seminyak,"Jl. Petitenget No.198, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1082,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ74RaGRNH0i0RIJ83QmJQS9M,Kaum Bali,"Jl. Petitenget No.51B, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,435,4.7,0,0,1,0,1,0,0,0,0,0,1,0,0
ChIJceqfUrYj0i0R3AKPH-aEZmM,Warung Umah Bali,"Jl. Keliki Kawan, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80561, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,325,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJvcoIMohH0i0RoOUc_GcwCoM,Balagra Resto Bali,"Jl. Sunset Road No.88A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,32,4.9,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ28dn2hdH0i0RMJGidoQ8ilw,Mamasan Bali,"Jl. Raya Kerobokan No.135, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,3031,4.5,0,0,1,0,1,0,0,0,0,1,1,0,0
ChIJ_9jHzR5d0i0Rkm0FXWXqIMY,Pala Restaurant & Rooftop Bar,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,70,4.8,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJNz1dVBdH0i0Rpn8u0cr9drY,Cafe Bali,"Jalan Laksmana (Kayu Aya Seminyak Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1545,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ0x7UGRRH0i0RKa1AnlBmNfQ,Sangsaka Restaurant,"Jalan Pangkung Sari No. 100 Kerobokan, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,998,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJscGAa6JH0i0RAQWv3Vuav1Q,The bali kitchen warung seminyak,"Jl. Drupadi II, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,11,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJp7V6o2FE0i0R0Vpk0XMjS4M,Cuca Restaurant,"Jl. Yoga Perkanthi, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80364, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2883,4.7,0,0,1,0,1,0,0,0,0,0,1,0,0
ChIJh5_-zCRH0i0RZ-5N2hPzs6A,Uni Restaurant,"Jl. Pantai Berawa No.99, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,152,4.4,0,0,1,0,1,0,0,0,0,0,1,0,0
