place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,amusement_park,aquarium,art_gallery,cafe,church,food,hindu_temple,library,local_government_office,lodging,mosque,museum,natural_feature,park,place_of_worship,restaurant,rv_park,school,shopping_mall,store,travel_agency,zoo
ChIJo-YhLEkj0i0RwrBdmWw4Fbc,Sangeh Monkey Forest,"Jl. Brahmana, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80353, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,5837,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ2bn7v86P0S0RQNlEPMKB6JU,Gitgit Waterfall,"Jl. Raya Bedugul - Singaraja, Gitgit, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2014,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJL1XuIURB0i0RNRhRbMMJMLI,Upside Down World Bali,"Jl. Bypass Ngurah Rai No.762, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,3629,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJVwisn2yJ0S0RUxvb5GhlJBg,Ulun Danu Beratan Temple,"Danau Beratan, Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,33213,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChIJDSEiPAyJ0S0RxX3GamOTQ4k,Bali Botanical Garden,"Jl. Kebun Raya, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,14008,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJj2WsFphH0i0RpPagQ9ga8cg,Pantai Double - Six,"8526+XVJ, Double Six Beach, Legian, Jl. Double Six, Seminyak, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1043,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJR41mLqND0i0R3vM_t4a9Uj0,Penangkaran Penyu Bali Tanjung Benoa,"Tanjung Benoa, South Kuta, Badung Regency, Bali, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,4836,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJbzqpVBWJ0S0R05zES7guCTk,Bali Handara Gate,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2707,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJS7J-82o90i0RMj8cKJr2zUs,Ubud Palace,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,8907,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJD_uUnkcj0i0RRgli0Ct1dFI,Objek Wisata Sangeh,"Jl. Brahmana, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,137,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ChIJqfTkrG4Z0i0RGTQM35oWGTM,Penglipuran Village,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,16793,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJAUB625A70i0R7crEj_IvJq8,Taman Ayun Temple,"Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,7199,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChIJQWvBDkoj0i0RLYVMkHhMqGw,Taman Mumbul Sangeh,"Jln.brahmana No.38, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2165,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJL-o1GhJA0i0R5Abv31St2ck,"Taman Festival Bali, Padang Galak","Jl. Padang Galak No.3, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,1490,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJl3dU9cFG0i0RE_JTvoaxSVQ,Pantai Legian Bali,"Jl. Melasti, Legian, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,615,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ-9cMAqsn0i0RmoPm81-HDy8,Jatiluwih Rice Terraces,"Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,8647,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ5_TINIRF0i0Rz6DwJGLEQKw,Honeymoon Beach,"64CV+3HP, Unnamed Road, Jimbaran, South Kuta, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,412,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,"Beraban, Kediri, Tabanan Regency, Bali 82121, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,80799,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ5ZiPtys90i0RUok0dF7Lh9w,Bali Swing,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,11288,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJbZgU8gRb0i0RmWRatK3bd3I,Pandawa Beach,"553P+R5G, Jl. Pantai Pandawa, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,40133,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ChIJRSElPXYR0i0R-l62epaUmSw,Bukit Belong,"Jl. Bukit Belong, Gunaksa, Kec. Dawan, Kabupaten Klungkung, Bali 80761, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,311,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJA-LqptiO0S0RvoHMiW8mfAE,Puncak Wanagiri,"Jl. Raya Wanagiri, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1734,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ05RvaKAX0i0R0GaluXYojxs,Pengibul Waterfall,"Apuan, Susut, Bangli Regency, Bali 80515, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,362,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ6WxHo60Y0i0RCfAEsPZKqkQ,Pura Gunung Kawi Sebatu,"Sebatu, Tegallalang, Gianyar Regency, Bali 80511, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1722,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChIJ-5G51WyJ0S0R3SGp5T1BdlA,Puncak Indah Bedugul,"Puncak Indah Bedugul No.2, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,550,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJhwAqoysh0i0R70f2yLfD06s,Secret Garden Village,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,4723,4.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ChIJ4WuUswqG0S0R0_F7ENm3htc,Air Terjun Munduk,"Jl Raya No.Desa, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,722,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJZ7s1gUIj0i0RpJe0WNaJmLw,Pengempu Waterfall,"G6J3+798, Jl. Seribupati, Cau Belayu, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,565,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ0wc2QtEn0i0RIj-sp3iCImM,Wisata Kayu Putih,"H5VP+CR8, Tua, Marga, Tabanan Regency, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,253,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
