place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,clothing_store,electronics_store,food,gym,health,home_goods_store,lodging,night_club,park,parking,real_estate_agency,restaurant,shopping_mall,spa,store,travel_agency
ChIJK8DR0LtG0i0Rk5nmVA5QmIA,The Kubu Hotel,"Kuta Jl. Poppies 1 Gg, Sorga, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,544,3.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJNZq2BZtA0i0RSQuVCjEmn6o,ASTON Denpasar Hotel & Convention Center,"Jl. Gatot Subroto Barat No.283, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,4809,4.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJVbGrX9BG0i0RubhKAnuxOwY,Fame Hotel Sunset Road,"Jl. Sunset Road No.9, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1928,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJv5IY9M9G0i0RCf066m6Kzlw,THE 1O1 Bali Fontana Seminyak,"Jl. Dewi Sri No.68, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,3072,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJidYk_R9E0i0Rf6ykxdOBjGA,Bakung Beach Resort,"Jalan Kartika Plaza, Gang Samudra, Tuban, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,942,3.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJvbSkZ2ZE0i0Rh0cDbyZMpLc,Jimbaran Bay Beach Resort & Spa,"Jl. Pantai Kedonganan No.888, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2102,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJP2wGwsZG0i0R3pYaX6PwDUE,HARRIS Hotel & Residences Sunset Road - Bali,"Jl. Pura Mertasari Jl. Sunset Road, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,4222,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJQ6BIXXFH0i0RV3fRVSbUg3A,Umalas Hotel and Residence,"Jalan Umalas II No.83, Kerobokan, Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,711,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ7bTZyJ5A0i0R6PyeSeKUaS4,Inna Bali Heritage Hotel,"Banjar Lelangon, Jl. Veteran No.3, Kota Denpasar, Bali 80232, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1715,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJibGx-6dG0i0Rvr1FMfTmxWY,Best Western Kuta Villa,"Jl. Nyangnyang Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2004,4.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
