,name,place_id,formatted_address,types,user_ratings_total,rating
24,ARSHIKA Bali Sunset Road,ChIJk1LAkENH0i0R44G-gOKqoxM,"Jl Raya Kuta, Kav 1&3 Kuta - Badung Regency, Pemecutan Klod, Kec. Denpasar Bar., Bali, 80119, Indonesia","lodging,point_of_interest,establishment",140,4.1
25,Alila Ubud,ChIJ178SqP4i0i0RymfdwzHeAow,"Desa, Melinggih Kelod, Payangan, Gianyar Regency, Bali 80572, Indonesia","lodging,point_of_interest,establishment",1168,4.6
26,100 Sunset Hotel,ChIJM0cAQrRG0i0RY0GMynSFZKg,"Jl. Sunset Road No.100C, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1258,3.9
27,Hotel Dafam Savvoya Seminyak Bali,ChIJzXSCOz1H0i0RTITlcZFlyCM,"Jl. Mertanadi No.14, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1277,4.2
28,Loft Legian Hotel,ChIJn_bqAMRG0i0RHv2BMw856xo,"Jl. Melasti No.99, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",660,3.9
29,Tijili Hotel Benoa,ChIJN1BdZQ9D0i0RUv7AsKhQJzI,"Jl. Pratama No.62, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2227,4.5
30,Bali Paragon Resort Hotel,ChIJt5cfsppE0i0Rk_VFR4RplQI,"Jl. Raya Kampus Unud, Jimbaran, Bali, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2487,4.4
31,The Kana Kuta Hotel,ChIJr6VhdLFG0i0R676LcZ-Qab4,"Jl. Setiabudi No.8, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",962,4.5
32,POP! Hotel Denpasar - Bali,ChIJJx9FctU-0i0RnhICc1yNvwU,"Cokroaminoto St No.23 - 25, Pemecutan Kaja, Denpasar Utara, Denpasar City, Bali 80118, Indonesia","lodging,point_of_interest,establishment",1430,4.1
33,Rhadana Kuta Bali,ChIJ4S3GzLZG0i0RKiBKQTPVrQY,"Jl. Raya Kuta No.88, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1641,4.5
34,Coco De Heaven Guest House,ChIJhZKSKHJE0i0R8jsbjvwNCl0,"Jl. Bypass Ngurah Rai No.17X, Kedonganan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",813,3.8
35,MaxOneHotels.com @ Bukit Jimbaran,ChIJP5JAos5E0i0RVkwcLXF-j_Y,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80363, Indonesia","lodging,point_of_interest,establishment",1476,4.2
36,Hilton Garden Inn Bali Ngurah Rai Airport,ChIJfSVOAhpE0i0RFI1AZ7FOUCw,"Jl. Airport Ngurah Rai No.7, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2886,4.3
37,Brits Hotel Kuta Legian,ChIJIQ--w9lG0i0RWA-zzw5yFgQ,"Jl. Sunset Road No.150, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1436,4.3
38,The Alea Hotel Seminyak,ChIJy8H2qhJH0i0RQODiFNc6E6Q,"Jl. Cendrawasih No.78, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,bar,restaurant,point_of_interest,food,establishment",1317,4.2
39,Fashion Hotel Legian,ChIJB5TNesdG0i0RyChcWmpxzXI,"Jln Legian No.121, Kuta, Badung Regency, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1739,4.2
40,Ion Bali Benoa,ChIJu92VhaZD0i0RhahlxfhZGkw,"Jl. Pratama No.93, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",380,4.1
41,Golden Tulip Essential Denpasar,ChIJ48r2-rk40i0ROp4m91wtgCM,"Jl. Gatot Subroto Barat No.101, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80118, Indonesia","lodging,point_of_interest,establishment",1724,4.2
42,The ONE Legian,ChIJQ2IOhLhG0i0RP1ml16E74Uw,"Jln Legian No.117, Kuta, Badung Regency, Bali 80361, Indonesia","lodging,point_of_interest,establishment",4562,4.3
43,J Hotel Raya Kuta,ChIJc3rJyQJE0i0R1katY3dgWgg,"Jalan Raya Kuta No.88D, Kuta, Jl. Raya Kuta No.88, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",882,4.2
44,Mega Boutique,ChIJWa9i8bJG0i0RW_BRN0l18zU,"SImpang Siur, Jl. Bypass Ngurah Rai No.259, Kuta, Denpasar Selatan, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1505,4.2
45,Royal Tulip Springhill Resort Jimbaran,ChIJdSaVLr1F0i0R2w93KaSDqiY,"Jl. Jimbaran Hijau Kelod, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1103,4.5
46,Daun Bali Seminyak Hotel,ChIJw9bkkmpH0i0Reozb0Nx1fEo,"Petitenget St No.8, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1454,4.4
47,Kubu Bali Suite Seminyak,ChIJ5xdVghBH0i0Rbb2hMby9bMg,"Jl. Kerobokan Gang: 7 No: 3, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",35,4.4
48,The Salak Style Hotel,ChIJbz0wrkhH0i0R3C_aBC_ONi8,"Jl. Gunung Salak No.78, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia","lodging,point_of_interest,establishment",991,4.2
49,Hotel Santika Kuta Bali,ChIJGRKHT6BG0i0RRpnp9jrz-vo,"Jl. Raya Kuta No.98, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1275,4.3
50,Terrace at Kuta Hotel,ChIJv4bSOMdG0i0RVoVNpe1vZYc,"Jl. Benesari No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",708,4.3
51,Hotel Grand Santhi,ChIJQb9i6pRA0i0RDjCeW5hi3s0,"Jl. Patih Jelantik No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia","lodging,point_of_interest,establishment",1284,4.2
52,Aryaswara Villa Ubud,ChIJi57uaQc90i0Rf4qrnropqHg,"Gg. Cendana, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","lodging,point_of_interest,establishment",90,4.3
53,Pelangi Bali Hotel & Spa,ChIJsVzexcRG0i0R0pCAjEvzHHs,"Jl. Camplung Tanduk, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",499,4.1
54,Grandmas Plus Hotel Legian,ChIJnTD2psZG0i0RlmLPW5MCasE,"Jl. Sriwijaya No.368, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2295,4.5
